doi,language,method,method2,measurement,validation
10.1080/1369118X.2018.1444076,nl,key,Rule-based,quali,no validation attempt
10.1080/1369118X.2018.1444076,nl,key,Rule-based,attri,no validation attempt
10.1080/1369118X.2018.1444076,nl,lda,Unsupervised,senti,no validation attempt
10.1080/1369118X.2018.1444076,nl,lda,Unsupervised,quali,no validation attempt
10.1080/1369118X.2018.1444076,nl,lda,Unsupervised,attri,no validation attempt
10.1080/1369118X.2018.1468919,he,man,Manual,types,no validation attempt
10.1080/1369118X.2018.1468919,he,man,Manual,theme,no validation attempt
10.1080/1369118X.2018.1468919,he,lda,Unsupervised,types,no validation attempt
10.1080/1369118X.2018.1468919,he,lda,Unsupervised,theme,no validation attempt
10.1080/1369118X.2018.1476576,cn,bot,Other,other,no validation attempt
10.1080/1369118X.2018.1499793,en,sml,Supervised,senti,validation attempt: discussion & demonstration
10.1080/1369118X.2018.1500622,en,dct,Rule-based,const,validation attempt: discussion & demonstration
10.1080/1369118X.2018.1555271,it,lnk,Rule-based,attri,no validation attempt
10.1080/1369118X.2018.1555271,it,lnk,Rule-based,pragm,no validation attempt
10.1080/1369118X.2019.1566484,en,man,Manual,senti,no validation attempt
10.1080/1369118X.2019.1566484,en,man,Manual,attri,no validation attempt
10.1080/1369118X.2019.1566484,en,sof,Rule-based,senti,no validation attempt
10.1080/1369118X.2019.1566484,en,sof,Rule-based,attri,no validation attempt
10.1080/1369118X.2019.1566484,en,sml,Supervised,senti,no validation attempt
10.1080/1369118X.2019.1566484,en,sml,Supervised,attri,no validation attempt
10.1080/1369118X.2020.1716039,en,plg,Unsupervised,quali,validation attempt: discussion
10.1080/1369118X.2020.1720770,nl,man,Manual,thing,validation attempt: discussion
10.1080/1369118X.2020.1720770,nl,man,Manual,theme,validation attempt: discussion
10.1080/1369118X.2020.1720770,nl,lnk,Rule-based,thing,validation attempt: discussion
10.1080/1369118X.2020.1720770,nl,lnk,Rule-based,theme,validation attempt: discussion
10.1080/1369118X.2020.1776372,cn,man,Manual,senti,validation attempt: discussion
10.1080/1369118X.2020.1776372,cn,man,Manual,attri,validation attempt: discussion
10.1080/1369118X.2020.1776372,cn,man,Manual,frame,validation attempt: discussion
10.1080/1369118X.2020.1776372,cn,sof,Rule-based,senti,validation attempt: discussion
10.1080/1369118X.2020.1776372,cn,sof,Rule-based,attri,validation attempt: discussion
10.1080/1369118X.2020.1776372,cn,sof,Rule-based,frame,validation attempt: discussion
10.1080/1369118X.2020.1776372,cn,lda,Unsupervised,senti,validation attempt: discussion
10.1080/1369118X.2020.1776372,cn,lda,Unsupervised,attri,validation attempt: discussion
10.1080/1369118X.2020.1776372,cn,lda,Unsupervised,frame,validation attempt: discussion
10.1080/1369118X.2020.1792532,en,dct,Rule-based,theme,validation attempt: discussion & demonstration
10.1080/15022250.2019.1651671,en,lda,Unsupervised,theme,validation attempt: discussion
10.1111/1468-4446.12624,en,sof,Rule-based,const,no validation attempt
10.1111/risa.13425,en,sml,Supervised,quali,validation attempt: discussion & demonstration
10.1111/risa.13533,it,key,Rule-based,theme,validation attempt: discussion
10.1111/risa.13582,en,lnk,Rule-based,const,validation attempt: discussion & demonstration
10.1111/risa.13582,en,key,Rule-based,const,validation attempt: discussion & demonstration
10.1111/risa.13582,en,dct,Rule-based,const,validation attempt: discussion & demonstration
10.1111/rssa.12421,en,sml,Supervised,const,validation attempt: discussion & demonstration
10.1140/epjds/s13688-016-0066-4,en,key,Rule-based,theme,no validation attempt
