_id,doi,language,method,method2,measurement,validation
940,10.1017/S0020818316000138,en,man,Manual,relas,NA
941,10.1080/00913367.2015.1083918,en,man,Manual,forma,NA
942,10.1080/00913367.2015.1083918,en,man,Manual,const,NA
943,10.1080/00913367.2015.1083918,en,man,Manual,theme,NA
944,10.1080/00913367.2015.1083918,en,man,Manual,quali,NA
945,10.1080/00913367.2015.1083918,en,man,Manual,pragm,NA
946,10.1080/00913367.2016.1172387,en,man,Manual,thing,NA
947,10.1080/00913367.2016.1274924,en,man,Manual,const,NA
948,10.1080/00913367.2016.1274924,en,man,Manual,quali,NA
949,10.1080/01972243.2017.1354111,he,man,Manual,frame,NA
950,10.1080/01972243.2018.1444253,it,man,Manual,theme,NA
951,10.1080/01972243.2018.1542646,en,man,Manual,quali,NA
952,10.1080/02650487.2016.1167812,en,man,Manual,forma,NA
953,10.1080/02650487.2016.1167812,en,man,Manual,thing,NA
954,10.1080/02650487.2016.1167812,en,man,Manual,types,NA
955,10.1080/02650487.2016.1167812,en,man,Manual,theme,NA
956,10.1080/02650487.2016.1167812,en,man,Manual,quali,NA
957,10.1080/02650487.2016.1189250,gr,man,Manual,const,NA
958,10.1080/02650487.2016.1247489,en,man,Manual,theme,NA
959,10.1080/02650487.2016.1247489,en,man,Manual,props,NA
960,10.1080/02650487.2016.1247489,en,man,Manual,pragm,NA
961,10.1080/02650487.2017.1348329,en,man,Manual,const,NA
962,10.1080/02650487.2017.1348329,en,man,Manual,props,NA
963,10.1080/02650487.2017.1410000,de,man,Manual,forma,NA
964,10.1080/02650487.2017.1410000,de,man,Manual,const,NA
965,10.1080/02650487.2017.1410000,de,man,Manual,attri,NA
966,10.1080/02650487.2018.1485214,nl,man,Manual,forma,NA
967,10.1080/02650487.2018.1485214,nl,man,Manual,const,NA
968,10.1080/02650487.2018.1485214,nl,man,Manual,quali,NA
969,10.1080/02650487.2018.1485214,nl,man,Manual,pragm,NA
970,10.1080/02650487.2020.1717856,en,man,Manual,theme,NA
971,10.1080/03637751.2015.1030683,en,man,Manual,const,NA
972,10.1080/03637751.2015.1030683,en,man,Manual,attri,NA
973,10.1080/03637751.2017.1359748,en,man,Manual,theme,NA
974,10.1080/03637751.2018.1501503,en,man,Manual,pragm,NA
975,10.1080/03637751.2019.1621361,en,man,Manual,const,NA
976,10.1080/03637751.2019.1621361,en,man,Manual,attri,NA
977,10.1080/09644016.2015.1090369,en,man,Manual,theme,NA
978,10.1080/09644016.2016.1156106,en,man,Manual,theme,NA
979,10.1080/09644016.2017.1287624,en,man,Manual,quali,NA
980,10.1080/09644016.2017.1287624,en,man,Manual,frame,NA
981,10.1080/09644016.2017.1319017,en,man,Manual,frame,NA
982,10.1080/09644016.2017.1324754,en,man,Manual,attri,NA
983,10.1080/09644016.2018.1439353,en,man,Manual,frame,NA
984,10.1080/09644016.2018.1494967,en,man,Manual,const,NA
985,10.1080/09644016.2018.1507290,en,man,Manual,frame,NA
986,10.1080/09644016.2018.1525805,en,man,Manual,thing,NA
987,10.1080/09644016.2018.1525805,en,man,Manual,frame,NA
988,10.1080/09644016.2020.1740555,en,man,Manual,theme,NA
989,10.1080/09644016.2020.1740555,en,man,Manual,frame,NA
990,10.1080/09644016.2020.1742551,un,man,Manual,theme,NA
991,10.1080/09644016.2020.1742551,un,man,Manual,frame,NA
992,10.1080/09644016.2020.1743610,en,man,Manual,attri,NA
993,10.1080/09644016.2020.1743610,en,man,Manual,frame,NA
994,10.1080/09644016.2020.1787056,nl,man,Manual,frame,NA
995,10.1080/09644016.2020.1787056,nl,man,Manual,relas,NA
996,10.1080/10584609.2014.958261,en,man,Manual,thing,NA
997,10.1080/10584609.2014.958261,en,man,Manual,types,NA
998,10.1080/10584609.2014.958261,en,man,Manual,theme,NA
999,10.1080/10584609.2015.1016639,nl,man,Manual,theme,NA
1000,10.1080/10584609.2015.1055526,en,man,Manual,thing,NA
